episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info
1,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
1,1,"(0, 1)",2,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
1,2,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (1, 0)}"
1,3,"(1, 0)",0,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (1, 1)}"
1,4,"(1, 1)",3,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (0, 1)}"
1,5,"(0, 1)",0,0,0,FALSE,"(0, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 6, 'current state': (0, 2)}"
1,6,"(0, 2)",2,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 7, 'current state': (0, 1)}"
1,7,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 8, 'current state': (-1, -1)}"
2,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
2,1,"(0, 1)",0,0,0,FALSE,"(0, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 2)}"
2,2,"(0, 2)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
3,0,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0, 'total steps': 1, 'current state': (-1, -1)}"
4,0,"(0, 0)",1,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (1, 0)}"
4,1,"(1, 0)",3,0,0,FALSE,"(0, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 0)}"
4,2,"(0, 0)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 3, 'current state': (-1, -1)}"
5,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
5,1,"(0, 1)",3,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 2, 'current state': (-1, -1)}"
6,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
6,1,"(0, 1)",1,0,0,FALSE,"(1, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (1, 1)}"
6,2,"(1, 1)",2,0,0,FALSE,"(1, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (1, 0)}"
6,3,"(1, 0)",1,0,0,FALSE,"(2, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 4, 'current state': (2, 0)}"
6,4,"(2, 0)",1,0,0,FALSE,"(3, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 5, 'current state': (3, 0)}"
6,5,"(3, 0)",0,0,0,FALSE,"(3, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 6, 'current state': (3, 1)}"
6,6,"(3, 1)",3,0,0,FALSE,"(2, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 7, 'current state': (2, 1)}"
6,7,"(2, 1)",1,0,0,FALSE,"(3, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 8, 'current state': (3, 1)}"
6,8,"(3, 1)",2,0,0,FALSE,"(3, 0)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 9, 'current state': (3, 0)}"
6,9,"(3, 0)",2,1,1,TRUE,"(-1, -1)","{'immediate_reward': -1, 'total rewards': 0.0, 'total steps': 10, 'current state': (-1, -1)}"
7,0,"(0, 0)",0,0,0,FALSE,"(0, 1)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 1, 'current state': (0, 1)}"
7,1,"(0, 1)",0,0,0,FALSE,"(0, 2)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 2, 'current state': (0, 2)}"
7,2,"(0, 2)",0,0,0,FALSE,"(0, 3)","{'immediate_reward': 0.0, 'total rewards': 0.0, 'total steps': 3, 'current state': (0, 3)}"
